Author,Date,Region,Sentence,pos_tags,LLaMA
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.",CCONJ PUNCT PRON PRON ADV AUX ADV ADJ PUNCT CCONJ AUX VERB PUNCT CCONJ ADJ VERB PUNCT CCONJ DET PROPN VERB VERB PUNCT,"E, cosa che è anche più grave, cioè essere catturato o vero fuggire, e lasciare comune che sia sconfitto."
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.",VERB ADV PUNCT SCONJ SCONJ PRON ADV PRON VERB ADV VERB ADP VERB PUNCT PRON AUX PRON NOUN PUNCT,"Sappiate veramente che, se noi non ci fossimo partiti all'istante, tutti saremmo stati morti."
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui",PROPN ADJ SCONJ ADP NOUN AUX NOUN ADJ AUX AUX VERB PUNCT CCONJ DET NOUN ADP VERB DET ADJ NOUN ADP NOUN ADJ ADV ADV ADP PRON,"Ecco il cretese Tarco, che avrebbe potuto fuggire per aiutare i nemici, ma l'umiltà di abbandonare i nobilissimi cavalieri achei, che poco prima lo avevano seguito."
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni",CCONJ DET PUNCT ADV ADP VERB ADJ NOUN PUNCT CCONJ ADP VERB NOUN CCONJ VERB ADV CCONJ AUX DET ADJ PUNCT ADP NOUN NOUN PUNCT PROPN CCONJ NOUN,"Perifrasi a fare cose gigantesche, cioè tenere pace e amare Dio e il prossimo, fare città, castelli e magioni."
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,PRON PRON ADV ADV AUX VERB DET ADJ ADP PRON ADJ ADV VERB ADP VERB DET NOUN ADP NOUN PUNCT,Colui che ancora non impara ad amare il prossimo come sé stesso già inizia a temere i giudizi di Dio.
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.",DET NOUN PUNCT ADV SCONJ NOUN VERB DET NOUN PUNCT ADV VERB NOUN PUNCT CCONJ ADP NOUN ADJ VERB ADV ADP NOUN ADV VERB PUNCT,"L'uomo, dopo aver sistemato le sue ali, non si difende salvo, né il selvaggio maiale si libera bene dalle reti in cui è caduto."
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?",PRON DET NOUN PUNCT CCONJ PRON ADV PUNCT CCONJ SCONJ NOUN VERB PUNCT SCONJ DET NOUN DET AUX VERB ADP DET NOUN PROPN PUNCT,"Io apersi gli occhi, che coloro fuggirono. E a che pro stabilire che il tuo cuore sia chiuso al suo sposo, Cristo?"
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti",CCONJ ADV PUNCT ADP SCONJ DET NOUN AUX ADV PUNCT PROPN PUNCT CCONJ PRON ADV AUX VERB ADV VERB PUNCT VERB PRON ADP VERB ADP DET NOUN CCONJ VERB DET NOUN VERB ADP PRON VERB,"E dunque, poiché queste cose sono così, Caterina, e tu non puoi rimanervi onorevolmente, non dubiti di recarti in alcuna terra e di vivere questa vita fuggendo per i deserti?"
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.",DET NUM PUNCT VERB VERB DET NOUN ADP NOUN VERB ADP DET NOUN ADP NOUN PUNCT AUX VERB ADP DET NOUN PUNCT VERB DET NOUN ADJ PUNCT,"Quei due, osando resistere alla volontà del senato e desiderare rimanere al tribunato, furono uccisi dalla plebe, incitandola i patrizi coscritti."
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette",DET NOUN PUNCT ADP PRON DET VERB ADP NOUN PUNCT CCONJ DET NOUN ADP DET DET NOUN PRON VERB,"Gli giovani, cui si affida la difesa delle province e il destino di tutta la battaglia."
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;",ADP PUNCT NOUN ADP ADP PROPN PRON VERB ADJ NOUN PUNCT VERB DET PRON AUX VERB NOUN DET NOUN PUNCT ADJ ADJ ADJ NOUN PUNCT AUX VERB PROPN PUNCT PROPN PRON PROPN ADP ADP PROPN PUNCT,"Da quei monti dei Romani si sono creati nuovi nemici; contro i quali si è scontrato con sorti diverse: poiché nella prima battaglia, essendo Console Valerio, circa 3.000 Romani vi persero la vita."
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.",PRON ADJ CCONJ NOUN ADP NOUN PROPN NOUN PUNCT CCONJ PRON VERB ADP NOUN CCONJ ADP NOUN ADJ PUNCT,"Noi dispersioni e allontanati per doveri dalla città, e tutti abbandonati da fama e da buona fortuna."
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,VERB DET NOUN ADP PRON PUNCT AUX AUX DET NOUN PROPN PUNCT CCONJ SCONJ PRON VERB PRON VERB NOUN ADP DET NOUN PUNCT PRON ADV AUX VERB ADP PRON PUNCT,"Pregaste gli dei per me; ciò è esito di vostri ordini: e se voi chiedete chi ebbe fortuna in questa battaglia, io non fui battuto da lui."
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa",DET NOUN VERB PROPN PUNCT ADP PRON AUX NOUN SCONJ ADJ NOUN ADP NOUN VERB ADP NOUN ADP DET NOUN ADP VERB PUNCT PROPN PUNCT VERB SCONJ VERB ADP VERB PUNCT NOUN ADP DET NOUN,"La villa chiamata Vitermina, vista la quale molti principi di scherno correvano per caso in quel tempo per vederla, Scipione, temendo che venissero per assaltarlo, alloché l'intrusi nella casa."
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,VERB PRON CCONJ VERB DET DET NOUN SPACE CCONJ VERB DET NOUN CCONJ VERB DET DET ADJ NOUN ADP DET NOUN CCONJ ADP DET PROPN,"Contro di lui e contro le sue sorelle, contro il regno e contro il prestigio elevato della sua stirpe e della sua famiglia."
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa",ADV SCONJ DET NOUN PRON PRON VERB CCONJ VERB ADP ADJ NOUN ADP VERB NOUN ADP NOUN DET NOUN ADJ PUNCT DET NOUN VERB ADJ CCONJ ADJ,"Ma quando la nave si fece al largo e si spinse in alto mare per proseguire dritta al di là di questo pericoloso passaggio, lo spazio si oscurò e divenne nuvoloso e piovoso."
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.",PRON VERB ADP ADP DET NOUN ADP NOUN PUNCT CCONJ ADP ADP DET NOUN PUNCT SCONJ ADP NOUN PRON AUX VERB PUNCT CCONJ ADP DET NOUN VERB ADV CCONJ VERB PUNCT,"Salii fin sulla riva del fossato e sul cancellato, se dagli alto si potessero difendere o in qualche modo passare oltre e salvarsi."
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista",CCONJ DET DET NOUN ADP NOUN AUX ADV ADJ PUNCT ADV SCONJ PUNCT VERB DET NOUN ADP NOUN PUNCT PRON ADJ ADJ NOUN VERB ADP ADJ NOUN,"Ma l'occhio della intelligenza è più alto, quindi quando la grandezza dell'università è passata, la stessa forma semplice diventa visibile nella profonda visione."
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.",CCONJ SCONJ DET DET NOUN AUX ADJ NOUN ADP NOUN ADP PUNCT NOUN PUNCT ADV DET NOUN AUX ADJ NOUN ADP NOUN PUNCT PRON AUX VERB VERB DET DET NOUN ADP DET DET NOUN VERB DET PUNCT NOUN PUNCT,"E se l'occhio è un membro nobile del corpo dell'uomo, è naturale che la salutazione sia un'azione nobile della lettera; così, come l'occhio illumina tutta la persona, la salutazione illumina tutta la scrittura."
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.",PROPN PUNCT DET PRON AUX VERB ADP PRON ADP PROPN CCONJ NOUN ADP NOUN ADJ NOUN ADP PROPN PROPN PUNCT,"I Tarantini, nati da quei di Sparta e creati dalla nobilissima città dei Greci."
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",PROPN PUNCT VERB DET NOUN ADJ CCONJ ADJ PUNCT PROPN AUX VERB ADP NOUN PUNCT,Ugo era un uomo ricco e nobile: gli fu dato il nome d'Orgenore.
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia",ADV SCONJ PUNCT NOUN ADJ NOUN CCONJ ADJ AUX VERB DET NOUN PUNCT PROPN PROPN AUX ADV ADJ VERB VERB PROPN,"Tuttavia, poiché è degna di lode e alta la virtù che combatte il nemico, anche più laudabile è saper mostrare pietà."
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.",PROPN PUNCT PRON AUX DET NOUN CCONJ AUX DET NOUN PUNCT ADP PROPN PUNCT ADJ NOUN ADP PROPN PUNCT VERB ADP DET NOUN VERB NOUN NOUN PUNCT ADV ADJ PUNCT,"Alessandro, questo è cognato e figlio, da Fausania, giovane nobile di Macedonia, rimasto solo e senza scorta in un luogo stretto, fu ucciso."
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.",PROPN AUX PROPN CCONJ ADJ PUNCT CCONJ VERB PRON VERB VERB DET NOUN PRON PRON PRON PRON SYM PUNCT,"Alcuni sono ricchi e gentili, ma si lamentano di voler avere una moglie diversa da quella che hanno."
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia",PROPN PUNCT AUX VERB ADP NOUN DET NOUN PROPN PUNCT ADV PRON AUX VERB PUNCT VERB PUNCT CCONJ VERB,"Pietro, visto il popolo gentile rappresentato dinanzi a sé, gli fu detto: uccidi e mangia."
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.",NOUN SCONJ PRON VERB ADP DET NOUN PUNCT ADP SCONJ PRON PRON PRON AUX VERB ADJ PUNCT NOUN ADJ NOUN VERB PUNCT CCONJ ADJ PUNCT CCONJ VERB PROPN PUNCT,"Il pregò che lo liberasse da quell'obbligazione, in cui egli era stato vincolato. Il gentiluomo acconsentì, lo liberò e ne fece carte."
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia",DET NOUN VERB ADP PROPN PUNCT PRON VERB PRON ADP DET PROPN PUNCT SCONJ ADV DET NOUN PROPN VERB ADP NOUN ADP NOUN PUNCT DET DET NOUN VERB ADP DET NOUN ADP DET NOUN,"L'oro verrà dall'Aquila. Quale corpo popolo per l'Aquila, se non quello Gentile compatto, fatto scoglio dal freddo del peccato, che per lungo tempo tenne sottomesso al suo giogo tirannico."
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.",CCONJ ADP NOUN ADP PRON CCONJ PRON PUNCT ADP PRON ADV AUX PUNCT PRON ADV ADV ADV VERB PUNCT SCONJ PRON ADV DET PROPN CCONJ ADV PRON VERB PUNCT,"Sia tra me e te come ostaggio; non può più abitare con noi a lungo, ché non lo soffrirei e non lo perderei."
